Year,Age,Team,Games,AB,Runs,Hits,2B,3B,HR,RBI,SB,BB,SO,BA,OBP,SLG,OPS,OPS+
1998,20,PIT,72,251,23,59,9,1,6,24,0,18,72,0.235,0.296,0.351,0.647,68
1999,21,PIT,18,56,2,10,2,1,0,7,0,6,9,0.179,0.254,0.25,0.504,29
2000,22,PIT,73,254,19,65,15,2,6,35,0,10,36,0.256,0.293,0.402,0.695,74
2001,23,PIT,158,603,83,181,40,0,34,112,5,40,100,0.3,0.35,0.536,0.886,122
2002,24,PIT,142,522,51,122,26,0,18,71,2,29,95,0.234,0.279,0.387,0.666,72
2003,25,"PIT, CHC",159,607,75,165,32,2,27,106,2,42,99,0.272,0.324,0.465,0.789,102
2004,26,CHC,145,547,99,174,32,1,36,103,0,49,62,0.318,0.373,0.578,0.951,139
2005,27,CHC,123,463,72,140,30,0,31,92,0,35,60,0.302,0.358,0.568,0.926,135
2006,28,CHC,157,594,93,173,38,4,38,119,2,50,63,0.291,0.352,0.561,0.913,126
2007,29,CHC,132,506,72,157,35,4,26,101,0,43,66,0.31,0.366,0.549,0.915,128
2008,30,CHC,149,554,97,160,44,1,27,111,2,74,94,0.289,0.38,0.518,0.898,127
2009,31,CHC,82,306,46,97,14,1,15,65,2,28,43,0.317,0.389,0.516,0.905,130
2010,32,CHC,124,465,61,112,21,1,25,83,0,34,90,0.241,0.294,0.452,0.746,95
2011,33,CHC,149,565,80,173,35,1,26,93,1,43,69,0.306,0.361,0.51,0.871,136
2012,34,MIL,149,570,92,171,50,3,27,105,9,44,82,0.3,0.36,0.54,0.9,136
2013,35,MIL,92,304,43,86,18,0,12,49,0,36,55,0.283,0.37,0.461,0.831,127
2014,36,MIL,133,494,47,141,23,1,15,66,3,21,75,0.285,0.33,0.427,0.757,108
2015,37,"MIL, PIT",137,475,43,117,31,1,17,75,1,31,68,0.246,0.297,0.423,0.72,95
