Year,Age,Team,Games,AB,Runs,Hits,2B,3B,HR,RBI,SB,BB,SO,BA,OBP,SLG,OPS,OPS+
1998,19,LAD,77,195,18,42,9,0,7,22,3,14,37,0.215,0.278,0.369,0.647,73
1999,20,LAD,152,538,84,148,27,5,15,67,18,61,105,0.275,0.352,0.428,0.78,102
2000,21,LAD,138,510,71,148,30,2,20,85,12,56,80,0.29,0.36,0.475,0.835,114
2001,22,LAD,126,475,59,126,22,4,13,60,13,28,82,0.265,0.31,0.411,0.721,91
2002,23,LAD,159,587,70,151,26,5,21,75,7,37,96,0.257,0.303,0.426,0.729,97
2003,24,LAD,158,559,50,134,30,2,23,80,2,37,103,0.24,0.29,0.424,0.714,88
2004,25,LAD,156,598,104,200,32,0,48,121,7,53,87,0.334,0.388,0.629,1.017,163
2005,26,SEA,156,603,69,154,36,1,19,87,3,38,108,0.255,0.303,0.413,0.716,93
2006,27,SEA,156,620,88,166,39,4,25,89,11,47,118,0.268,0.328,0.465,0.793,105
2007,28,SEA,149,595,87,164,41,2,26,99,14,38,104,0.276,0.319,0.482,0.801,112
2008,29,SEA,143,556,74,148,29,1,25,77,8,50,90,0.266,0.327,0.457,0.784,109
2009,30,SEA,111,449,54,119,27,0,8,44,13,19,74,0.265,0.304,0.379,0.683,83
2010,31,TEX,154,589,84,189,49,2,28,102,2,40,82,0.321,0.365,0.553,0.918,141
2011,32,TEX,124,487,82,144,33,0,32,105,1,25,53,0.296,0.331,0.561,0.892,131
2012,33,TEX,156,604,95,194,33,2,36,102,1,36,82,0.321,0.359,0.561,0.92,139
2013,34,TEX,161,631,88,199,32,0,30,92,1,50,78,0.315,0.371,0.509,0.88,138
2014,35,TEX,148,549,79,178,33,1,19,77,1,57,74,0.324,0.388,0.492,0.88,144
2015,36,TEX,143,567,83,163,32,4,18,83,1,41,65,0.287,0.334,0.453,0.787,110
2016,37,TEX,153,583,89,175,31,1,32,104,1,48,66,0.3,0.358,0.521,0.879,128
2017,38,TEX,94,340,47,106,22,1,17,71,1,39,52,0.312,0.383,0.532,0.915,132
2018,39,TEX,119,433,49,118,23,1,15,65,1,34,96,0.273,0.328,0.434,0.762,99
