Year,Age,Team,Games,AB,Runs,Hits,2B,3B,HR,RBI,SB,BB,SO,BA,OBP,SLG,OPS,OPS+
2010,24,OAK,14,32,1,5,1,0,1,4,0,2,12,0.156,0.206,0.281,0.487,32
2012,26,OAK,75,274,34,66,16,0,9,33,4,14,61,0.241,0.289,0.398,0.687,91
2013,27,OAK,158,579,89,174,37,3,24,93,5,76,110,0.301,0.384,0.499,0.883,145
2014,28,OAK,158,608,93,155,31,2,29,98,8,76,130,0.255,0.342,0.456,0.798,127
2015,29,TOR,158,620,122,184,41,2,41,123,6,73,133,0.297,0.371,0.568,0.939,151
2016,30,TOR,155,577,122,164,32,5,37,99,7,109,119,0.284,0.404,0.549,0.953,153
2017,31,TOR,113,415,65,112,21,0,33,78,2,76,111,0.27,0.385,0.559,0.944,140
2018,32,"TOR, CLE",52,187,30,46,14,0,8,23,2,31,54,0.246,0.352,0.449,0.801,119
2019,33,ATL,155,549,96,142,33,0,37,94,4,100,155,0.259,0.379,0.521,0.9,126
2020,34,MIN,28,81,14,18,2,0,6,11,0,18,24,0.222,0.373,0.469,0.842,132
2021,35,MIN,135,457,73,113,26,0,26,72,0,74,114,0.247,0.352,0.475,0.827,127
2022,36,NYY,132,478,59,106,28,0,28,62,2,54,148,0.222,0.308,0.374,0.682,93
2023,37,"NYY, MIL",50,165,18,25,5,0,5,26,0,22,50,0.152,0.249,0.418,0.667,79
